job,job_category,count
10th 11th grade english teacher,grad student,1
medical transcriptionist,medical transcriptionist,1
medicare appeals coordinator,coordinator,1
member services counselor,advisor,1
middle school humanities teacher,teacher,1
middle school librarian,librarian,1
midwife,midwife,1
minister,minister,1
mother 4,mother 4,1
multiplatform copy editor,multiplatform copy editor,1
municipal judge,lawyer,1
museum docent originally,unemployed,1
music director pianist,director,1
music historian,music historian,1
music librarian,librarian,1
music minister,music minister,1
music producer sound editor,music producer sound editor,1
musician grad student,grad student,1
musician licensing executive,manager,1
musicologist,musicologist,1
nanny originally,unemployed,1
national guard recruiter,national guard recruiter,1
naval architect,architect,1
network administrator,network administrator,1
neuroscientist,scientist,1
news producer originally,unemployed,1
newspaper editor reporter,reporter,1
nonprofit administrator,nonprofit,1
medical technologist,medical technologist,1
nonprofit co-founder leader originally,unemployed,1
medical lab scientist,scientist,1
media consultant,consultant,1
linguist language columnist,linguist language columnist,1
literary agent,literary agent,1
literature ph.d. student,grad student,1
location coordinator,coordinator,1
logistics coordinator,coordinator,1
m.b.a. candidate originally,unemployed,1
m.d. ph.d. student,grad student,1
m.d.-ph.d. student,grad student,1
major u.s. marine corps originally,unemployed,1
manager,manager,1
manager commercial support content,manager,1
manager corporate foundation relations music school,manager,1
manager scientific writing,manager,1
managing editor,managing editor,1
market research analyst originally,unemployed,1
market research director,director,1
market research intelligence senior coordinator,coordinator,1
market researcher,scientist,1
marketing content manager,manager,1
marketing executive,manager,1
marketing project manager,manager,1
marketing strategist,marketing strategist,1
massage therapist,massage therapist,1
math instructor,teacher,1
math student,student,1
mba student,student,1
mechanical design engineer,engineer,1
media strategist,media strategist,1
nonprofit communications consultant,nonprofit,1
nonprofit communications professional,nonprofit,1
nonprofit consultant,nonprofit,1
ph. d. student computer science,student,1
ph.d student,grad student,1
ph.d. candidate adjunct professor,grad student,1
ph.d. candidate epidemiology,grad student,1
ph.d. candidate teaching associate,grad student,1
ph.d. student experimental pathology,grad student,1
ph.d. student football analyst,grad student,1
pharmaceutical medical director,director,1
pharmaceutical research associate,scientist,1
phd student,student,1
philanthropic advisor,advisor,1
physicist,physicist,1
physics instructor,teacher,1
pilot,pilot,1
playwright,playwright,1
podcast host,podcast host,1
poet,poet,1
policy research director,director,1
political science student originally,unemployed,1
pool room owner,pool room owner,1
pool spa maintenance contractor,pool spa maintenance contractor,1
portable restroom service technician,technician,1
portfolio manager,manager,1
post-graduate student,grad student,1
postdoctoral researcher,doctor,1
power engineer,engineer,1
pr content manager,manager,1
personal trainer,personal trainer,1
personal assistant,personal assistant,1
pathologist,pathologist,1
pastry chef,chef,1
nonprofit finance professional,nonprofit,1
nonprofit fundraising operations manager,nonprofit,1
nonprofit manager,nonprofit,1
nonprofit strategist,nonprofit,1
nonprofit writer editor,nonprofit,1
novelist teacher,teacher,1
nuclear power plant inspector,nuclear power plant inspector,1
nurse,nurse,1
nurse practitioner,nurse,1
nurse residency program manager originally,unemployed,1
ob/gyn,ob/gyn,1
ob/gyn doctor,doctor,1
office associate,office associate,1
lighting designer,artist/designer,1
office supply sales assistant,office supply sales assistant,1
online e.s.l. teacher,teacher,1
online sales director,director,1
opera singer actor,opera singer actor,1
operations administrator,operations administrator,1
operations engineer,engineer,1
operations logistics manager,manager,1
operations specialist,specialist,1
organic farmer,organic farmer,1
orthodox rabbinical student,student,1
owner drug dna testing laboratory,owner drug dna testing laboratory,1
packaging engineer,engineer,1
paint sales assistant manager,manager,1
part-time mechanical engineer full-time mom,artist/designer,1
on-call office administrator,on-call office administrator,1
principal,principal,1
license director,director,1
library worker,librarian,1
high school history teacher coach,misc education,1
high school language arts teacher,misc education,1
high school librarian,misc education,1
high school math physics teacher,misc education,1
high school math teacher,misc education,1
high school math teacher originally,unemployed,1
high school physics teacher,misc education,1
high school social studies teacher,misc education,1
high school world history u.s. government teacher,misc government,1
historic preservation administrator,historic preservation administrator,1
historical interpreter,historical interpreter,1
history economics teacher,teacher,1
history educator,teacher,1
history instructor,teacher,1
history podcaster writer,writer,1
history student,student,1
home family manager,manager,1
home health aide,misc health,1
home health caregiver,misc health,1
homemaker home-schooling mom,mom,1
homeschool educator,teacher,1
homeschool mom,mom,1
hospice physician,hospice physician,1
housekeeper freelance copy editor,housekeeper freelance copy editor,1
human resources director,director,1
human resources manager,manager,1
human rights officer,human rights officer,1
high school history economics teacher,misc education,1
humanities professor,professor,1
high school government social studies teacher,misc government,1
high school english teacher coach,misc education,1
graduate student social work,grad student,1
graduate student teacher,grad student,1
grants development manager,manager,1
grants manager,manager,1
graphic artist,artist/designer,1
graphic design student,student,1
graphic designer editor,artist/designer,1
graphic designer illustrator,artist/designer,1
graphic designer teacher,artist/designer,1
grocery clerk,grocery clerk,1
h.r. consultant,consultant,1
handywoman gardener,handywoman gardener,1
hardware store manager,manager,1
head operations venture capital firm,head operations venture capital firm,1
health aide,misc health,1
health benefits advisor,misc health,1
health care subject matter expert,misc health,1
health safety professional,misc health,1
healthcare consultant,misc health,1
healthcare consultant originally,unemployed,1
high school administrator,misc education,1
high school ap language teacher,misc education,1
high school assistant principal,misc education,1
high school athletic director,misc education,1
high school biology teacher,misc education,1
high school campus director,misc education,1
high school english film studies teacher,misc education,1
high school esl teacher,misc education,1
i.t. applications director,director,1
i.t. manager,manager,1
i.t. manager originally,unemployed,1
junior project manager,manager,1
junior united states military academy,student,1
junior university oklahoma,student,1
junior university virginia,student,1
yoga teacher fitness instructor,teacher,1
kitchen manager,manager,1
lab tech,technician,1
lab technician,technician,1
labor relations analyst,analyst,1
laborer,laborer,1
