,full_name,First_Name,Last_Name,occupation,city,state,show_number,date,winner_flg,final_score,Gender,Year,flag_female,flag_male
0,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8045,2019-07-26,1,27600,male,2019,0,1
1,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8044,2019-07-25,1,4400,male,2019,0,1
2,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8043,2019-07-24,1,30000,male,2019,0,1
3,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8042,2019-07-23,1,30100,male,2019,0,1
4,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8041,2019-07-22,1,18600,male,2019,0,1
5,Jason Zuffranieri,Jason,Zuffranieri,a math teacher,Albuquerque,New Mexico,8040,2019-07-19,1,26600,male,2019,0,1
6,Kevin Paquette,Kevin,Paquette,a math teacher,Charlottesville,Virginia,8032,2019-07-09,0,7199,male,2019,0,1
7,Rand Wise,Rand,Wise,a math teacher,Decatur,Georgia,7542,2017-05-30,1,11900,female,2017,1,0
8,Julien Corven,Julien,Corven,a math teacher,Parkville,Maryland,7590,2017-09-15,0,14200,male,2017,0,1
10,Erin Matherne,Erin,Matherne,a graphic designer,Winter Garden,Florida,7698,2018-02-14,0,7100,female,2018,1,0
11,Missy Meyer,Missy,Meyer,a graphic designer,Gilbert,Arizona,7643,2017-11-29,0,2399,female,2017,1,0
12,Jessica Plagens,Jessica,Plagens,a graphic designer,St. Paul,Minnesota,7342,2016-07-12,0,4300,female,2016,1,0
13,Ryan Kious,Ryan,Kious,a social media and web writer,Albuquerque,New Mexico,7584,2017-07-27,0,799,male,2017,0,1
14,Maggie Lehrman,Maggie,Lehrman,an editor and writer,Brooklyn,New York,8045,2019-07-26,0,0,female,2019,1,0
15,Hilary Hinzmann,Hilary,Hinzmann,an editor and writer,New York,New York,7282,2016-04-19,0,13500,female,2016,1,0
